gene_symbol	ensembl_gene_id	transcript_id	mane_select	canonical	pLI	loeuf	missense_z	lof_oe	lof_observed	lof_expected	gene_flags	constraint_flags	exome_prop_bp_an90	exome_prop_segdup	exome_prop_lcr
DLX4	ENSG00000108813	ENST00000240306	true	true	2.6894e-04	1.2085e+00	1.0747e-01	7.6013e-01	13	1.7102e+01			9.9306e-01	0.0000e+00	0.0000e+00
DLX5	ENSG00000105880	ENST00000648378	true	true	9.5498e-01	5.3255e-01	7.9510e-01	2.9515e-01	8	2.7105e+01			1.0000e+00	0.0000e+00	0.0000e+00
DLX6	ENSG00000006377	ENST00000518156	true	true	9.9999e-01	2.7321e-01	2.4350e-01	1.1939e-01	4	3.3504e+01			9.3060e-01	0.0000e+00	1.4676e-01
DMAC1	ENSG00000137038	ENST00000358227	true	true	3.7351e-05	2.4305e+00	-2.0418e+00	1.4329e+00	10	6.9790e+00			1.0000e+00	1.0000e+00	0.0000e+00
DMAC2	ENSG00000105341	ENST00000221943	true	true	3.0432e-12	1.4498e+00	4.8590e-01	1.0793e+00	32	2.9648e+01			1.0000e+00	0.0000e+00	0.0000e+00
DMAC2L	ENSG00000125375	ENST00000557421	true	true	1.6536e-07	1.3432e+00	2.0455e-01	9.3274e-01	21	2.2514e+01			1.0000e+00	0.0000e+00	0.0000e+00
DMAP1	ENSG00000178028	ENST00000372289	true	true	1.9192e-03	6.8450e-01	3.1760e+00	4.9331e-01	26	5.2705e+01			1.0000e+00	0.0000e+00	0.0000e+00
DMBT1	ENSG00000187908	ENST00000338354	true	true	1.0699e-51	8.8068e-01	-2.3745e-01	7.8280e-01	198	2.5294e+02			7.0968e-01	1.2589e-02	0.0000e+00
DMBX1	ENSG00000197587	ENST00000360032	true	true	9.9740e-01	4.3182e-01	9.1675e-01	2.2990e-01	7	3.0448e+01			1.0000e+00	0.0000e+00	0.0000e+00
DMC1	ENSG00000100206	ENST00000216024	true	true	1.5575e-04	7.4277e-01	2.6049e+00	5.3861e-01	27	5.0129e+01			1.0000e+00	0.0000e+00	0.0000e+00
DMD	ENSG00000198947	ENST00000357033	true	true	1.0000e+00	2.3540e-01	-5.4326e+00	1.9086e-01	63	3.3008e+02		outlier_mis|outlier_syn	9.9973e-01	0.0000e+00	0.0000e+00
DMGDH	ENSG00000132837	ENST00000255189	true	true	6.7337e-21	9.6611e-01	8.9252e-01	7.9827e-01	76	9.5206e+01			9.6112e-01	0.0000e+00	0.0000e+00
DMKN	ENSG00000161249	ENST00000339686	true	true	2.0758e-17	1.0682e+00	9.5268e-02	8.5836e-01	58	6.7571e+01			9.6218e-01	0.0000e+00	6.8627e-02
DMP1	ENSG00000152592	ENST00000339673	true	true	3.4101e-09	1.9908e+00	9.1598e-01	1.3700e+00	20	1.4598e+01			1.0000e+00	0.0000e+00	0.0000e+00
DMPK	ENSG00000104936	ENST00000291270	true	true	7.9494e-03	6.1127e-01	-1.8580e-01	4.5509e-01	32	7.0317e+01			9.7668e-01	0.0000e+00	0.0000e+00
DMRT1	ENSG00000137090	ENST00000382276	true	true	9.9894e-01	4.0763e-01	-2.3728e+00	2.1702e-01	7	3.2255e+01			1.0000e+00	0.0000e+00	0.0000e+00
DMRT2	ENSG00000173253	ENST00000358146	true	true	3.3307e-09	1.0150e+00	-4.9272e+00	7.5910e-01	33	4.3473e+01		outlier_mis	8.4254e-01	0.0000e+00	0.0000e+00
DMRT3	ENSG00000064218	ENST00000190165	true	true	5.3615e-09	1.1341e+00	-2.4300e+00	8.3177e-01	29	3.4866e+01			8.7641e-01	0.0000e+00	4.5198e-02
DMRTA1	ENSG00000176399	ENST00000325870	true	true	7.4837e-12	1.2875e+00	-3.0141e+00	9.6710e-01	34	3.5157e+01			1.0000e+00	0.0000e+00	0.0000e+00
DMRTA2	ENSG00000142700	ENST00000404795	true	true	8.6888e-01	5.7131e-01	4.3598e-01	3.3681e-01	10	2.9690e+01			7.0295e-01	0.0000e+00	4.5510e-02
DMRTB1	ENSG00000143006	ENST00000371445	true	true	7.0693e-01	6.2295e-01	-9.8610e-01	3.5699e-01	9	2.5211e+01			8.7427e-01	0.0000e+00	0.0000e+00
DMRTC1	ENSG00000269502	ENST00000615063	true	true			1.8551e+00				low_exome_mapping_quality	no_exp_lof	1.4410e-01	1.0000e+00	0.0000e+00
DMRTC2	ENSG00000142025	ENST00000269945	true	true	9.6497e-01	5.1776e-01	8.1943e-01	3.2566e-01	13	3.9919e+01			1.0000e+00	0.0000e+00	0.0000e+00
DMTF1	ENSG00000135164	ENST00000331242	true	true	4.5158e-02	5.5925e-01	2.3198e+00	4.2817e-01	39	9.1085e+01			9.8553e-01	0.0000e+00	2.6316e-03
DMTN	ENSG00000158856	ENST00000358242	true	true	1.5767e-02	6.2672e-01	1.4453e+00	4.5446e-01	27	5.9411e+01			9.6543e-01	0.0000e+00	0.0000e+00
DMWD	ENSG00000185800	ENST00000270223	true	true	2.5023e-01	6.0835e-01	2.2403e+00	4.1460e-01	19	4.5827e+01			8.5312e-01	0.0000e+00	0.0000e+00
DMXL1	ENSG00000172869	ENST00000539542	true	true	1.0000e+00	3.6653e-01	-1.0626e+00	3.1015e-01	99	3.1920e+02			9.9256e-01	0.0000e+00	3.7183e-03
DMXL2	ENSG00000104093	ENST00000560891	true	true	1.0000e+00	3.6646e-01	3.3346e+00	3.1112e-01	103	3.3106e+02			9.8583e-01	0.0000e+00	0.0000e+00
DNA2	ENSG00000138346	ENST00000358410	true	true	3.9835e-29	1.0002e+00	1.6192e+00	8.4779e-01	101	1.1913e+02			1.0000e+00	0.0000e+00	3.4591e-03
DNAAF1	ENSG00000154099	ENST00000378553	true	true	1.2048e-20	1.1243e+00	-3.9550e+00	9.1458e-01	65	7.1071e+01		outlier_mis	1.0000e+00	0.0000e+00	0.0000e+00
DNAAF10	ENSG00000243667	ENST00000295121	true	true	1.7940e-06	8.7919e-01	7.3461e-01	6.4126e-01	28	4.3664e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAAF11	ENSG00000129295	ENST00000620350	true	true	7.8956e-12	9.4925e-01	3.9660e-03	7.4038e-01	45	6.0779e+01			9.4421e-01	0.0000e+00	0.0000e+00
DNAAF2	ENSG00000165506	ENST00000298292	true	true	2.5212e-23	1.4800e+00	-1.5939e+00	1.1893e+00	58	4.8767e+01			9.9721e-01	0.0000e+00	0.0000e+00
DNAAF3	ENSG00000167646	ENST00000524407	true	true	2.4129e-11	1.0240e+00	-2.8612e-01	7.8661e-01	40	5.0851e+01			8.6630e-01	0.0000e+00	0.0000e+00
DNAAF4	ENSG00000256061	ENST00000321149	true	true	9.0585e-13	1.0696e+00	-1.6898e+00	8.2949e-01	43	5.1839e+01			1.0000e+00	0.0000e+00	6.0317e-02
DNAAF5	ENSG00000164818	ENST00000297440	true	true	8.7962e-19	1.0393e+00	-1.1246e+00	8.4404e-01	64	7.5825e+01			7.6296e-01	0.0000e+00	3.9376e-02
DNAAF6	ENSG00000080572	ENST00000372453	true	true	9.2489e-01	5.6412e-01	7.2914e-01	2.1826e-01	3	1.3745e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAAF8	ENSG00000166246	ENST00000299320	true	true	2.2578e-23	1.3827e+00	-2.8450e+00	1.1172e+00	61	5.4599e+01			9.9744e-01	0.0000e+00	0.0000e+00
DNAAF9	ENSG00000088854	ENST00000252032	true	true	8.9605e-13	6.4214e-01	1.4289e+00	5.3892e-01	90	1.6700e+02			9.6120e-01	0.0000e+00	0.0000e+00
DNAH1	ENSG00000114841	ENST00000420323	true	true	2.7435e-70	7.3989e-01	2.8335e+00	6.7517e-01	327	4.8432e+02			9.9852e-01	0.0000e+00	0.0000e+00
DNAH10	ENSG00000197653	ENST00000673944	true	true	1.1604e-76	7.5074e-01	3.4093e+00	6.8701e-01	348	5.0655e+02			9.7981e-01	0.0000e+00	0.0000e+00
DNAH11	ENSG00000105877	ENST00000409508	true	true	1.3946e-122	9.0907e-01	-8.8998e+00	8.4029e-01	442	5.2601e+02		outlier_mis|outlier_syn	9.9882e-01	2.6941e-02	0.0000e+00
DNAH12	ENSG00000174844	ENST00000495027	true	true	2.2788e-72	8.4633e-01	5.5037e-01	7.6725e-01	285	3.7146e+02			7.6380e-01	0.0000e+00	9.2593e-04
DNAH14	ENSG00000185842	ENST00000682510	true	true	5.0301e-148	9.8982e-01	2.3787e+00	9.1771e-01	478	5.2086e+02			9.6101e-01	0.0000e+00	0.0000e+00
DNAH17	ENSG00000187775	ENST00000389840	true	true	4.1340e-96	8.4320e-01	-2.9621e+00	7.7422e-01	376	4.8565e+02		outlier_syn	1.0000e+00	0.0000e+00	0.0000e+00
DNAH2	ENSG00000183914	ENST00000572933	true	true	1.1586e-59	6.7651e-01	4.4874e+00	6.1698e-01	323	5.2352e+02			9.9872e-01	0.0000e+00	0.0000e+00
DNAH3	ENSG00000158486	ENST00000261383	false	true	3.4399e-84	8.4069e-01	1.5086e+00	7.6769e-01	332	4.3247e+02			1.0000e+00	0.0000e+00	0.0000e+00
DNAH5	ENSG00000039139	ENST00000265104	true	true	6.4778e-87	7.8212e-01	9.2735e-01	7.1781e-01	372	5.1824e+02			9.9784e-01	0.0000e+00	0.0000e+00
DNAH6	ENSG00000115423	ENST00000389394	true	true	1.1167e-75	7.5686e-01	3.2010e+00	6.9188e-01	340	4.9141e+02			9.9270e-01	0.0000e+00	0.0000e+00
DNAH7	ENSG00000118997	ENST00000312428	true	true	6.8966e-119	9.7028e-01	-6.2264e-01	8.9296e-01	397	4.4459e+02			9.9669e-01	0.0000e+00	9.1120e-04
DNAH8	ENSG00000124721	ENST00000327475	true	true	9.8503e-83	7.3960e-01	2.3746e+00	6.7956e-01	382	5.6213e+02			9.9448e-01	0.0000e+00	0.0000e+00
DNAH9	ENSG00000007174	ENST00000262442	true	true	1.2560e-82	7.9966e-01	1.1516e+00	7.3149e-01	345	4.7164e+02			9.7905e-01	0.0000e+00	0.0000e+00
DNAI1	ENSG00000122735	ENST00000242317	true	true	9.1427e-17	8.9202e-01	3.9924e-01	7.2789e-01	67	9.2047e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAI2	ENSG00000171595	ENST00000311014	true	true	1.6902e-18	1.0406e+00	1.7332e+00	8.4369e-01	63	7.4672e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAI3	ENSG00000162643	ENST00000294664	true	true	3.3177e-20	8.6251e-01	9.3351e-01	7.1860e-01	83	1.1550e+02			9.9401e-01	0.0000e+00	0.0000e+00
DNAI4	ENSG00000152763	ENST00000371026	true	true	2.0945e-23	9.6249e-01	-1.1329e-01	8.0365e-01	85	1.0577e+02			9.9607e-01	0.0000e+00	0.0000e+00
DNAI7	ENSG00000118307	ENST00000395987	true	true	3.4656e-24	1.0869e+00	8.5697e-01	9.0034e-01	78	8.6634e+01			9.6861e-01	0.0000e+00	0.0000e+00
DNAJA1	ENSG00000086061	ENST00000330899	true	true	1.4906e-04	7.5818e-01	3.2926e+00	5.4641e-01	26	4.7583e+01			1.0000e+00	1.8136e-01	0.0000e+00
DNAJA2	ENSG00000069345	ENST00000317089	true	true	1.0000e+00	2.4011e-01	3.1860e+00	1.2165e-01	6	4.9322e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJA3	ENSG00000103423	ENST00000262375	true	true	1.4735e-04	7.1979e-01	-1.1567e+00	5.2791e-01	29	5.4934e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJA4	ENSG00000140403	ENST00000394852	true	true	1.5983e-09	1.0828e+00	1.2546e+00	8.0615e-01	32	3.9695e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJB1	ENSG00000132002	ENST00000254322	true	true	2.7802e-03	9.1179e-01	-1.1737e+00	5.8324e-01	14	2.4004e+01			1.0000e+00	1.0000e+00	0.0000e+00
DNAJB11	ENSG00000090520	ENST00000265028	true	true	9.0846e-07	8.6190e-01	1.6913e+00	6.3545e-01	30	4.7210e+01			9.8883e-01	0.0000e+00	0.0000e+00
DNAJB12	ENSG00000148719	ENST00000444643	true	true	9.2065e-01	5.3848e-01	1.0984e+00	3.4444e-01	14	4.0645e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJB13	ENSG00000187726	ENST00000339764	true	true	5.0616e-05	8.8213e-01	3.1079e-01	6.1776e-01	22	3.5612e+01			9.1878e-01	0.0000e+00	0.0000e+00
DNAJB14	ENSG00000164031	ENST00000442697	true	true	2.9492e-02	6.4905e-01	2.7837e+00	4.5453e-01	22	4.8401e+01			1.0000e+00	1.0730e-01	0.0000e+00
DNAJB2	ENSG00000135924	ENST00000336576	true	true	6.5107e-04	8.3605e-01	1.2924e+00	5.6978e-01	19	3.3346e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJB3		NM_001001394.4	false	true	2.3414e-04	1.4928e+00	6.0972e-02	9.0187e-01	11	1.2197e+01					
DNAJB4	ENSG00000162616	ENST00000370763	true	true	5.8101e-01	6.3864e-01	1.6923e+00	3.7651e-01	10	2.6560e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJB5	ENSG00000137094	ENST00000682809	true	true	7.1065e-01	5.9607e-01	3.5549e+00	3.6789e-01	12	3.2618e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJB6	ENSG00000105993	ENST00000262177	true	true	7.3804e-01	5.6877e-01	1.4577e+00	3.7448e-01	16	4.2726e+01			9.9898e-01	0.0000e+00	0.0000e+00
DNAJB7	ENSG00000172404	ENST00000307221	true	true	1.7814e-01	4.0076e+00	-1.3857e+00	8.4479e-01	1	1.1837e+00			1.0000e+00	0.0000e+00	0.0000e+00
DNAJB8	ENSG00000179407	ENST00000319153	true	true			-8.3870e-01					no_exp_lof	1.0000e+00	0.0000e+00	0.0000e+00
DNAJB9	ENSG00000128590	ENST00000249356	true	true	2.8732e-03	1.0119e+00	-2.8667e-01	6.2457e-01	12	1.9213e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJC1	ENSG00000136770	ENST00000376980	true	true	2.5622e-15	9.4181e-01	-1.9247e-01	7.5682e-01	58	7.6637e+01			9.3983e-01	0.0000e+00	1.5644e-02
DNAJC10	ENSG00000077232	ENST00000264065	true	true	3.2218e-30	1.0363e+00	-7.3010e-01	8.7835e-01	101	1.1499e+02			9.8781e-01	0.0000e+00	0.0000e+00
DNAJC11	ENSG00000007923	ENST00000377577	true	true	1.0000e+00	2.9380e-01	2.6028e+00	1.9080e-01	15	7.8616e+01			9.9523e-01	0.0000e+00	1.4908e-02
DNAJC12	ENSG00000108176	ENST00000225171	true	true	2.7441e-08	1.2243e+00	2.7194e-01	8.7662e-01	25	2.8519e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJC13	ENSG00000138246	ENST00000260818	true	true	1.0000e+00	3.1290e-01	3.4183e+00	2.5821e-01	75	2.9046e+02			1.0000e+00	0.0000e+00	0.0000e+00
DNAJC14	ENSG00000135392	ENST00000678005	true	true	1.0000e+00	2.8264e-01	1.6080e+00	1.7444e-01	12	6.8790e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJC15	ENSG00000120675	ENST00000379221	true	true	2.8349e-11	1.6601e+00	-6.5234e-01	1.2038e+00	27	2.2428e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJC16	ENSG00000116138	ENST00000375847	true	true	1.8530e-21	9.9186e-01	1.0192e+00	8.1955e-01	76	9.2734e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJC17	ENSG00000104129	ENST00000220496	true	true	3.0205e-09	9.6423e-01	4.8489e-01	7.2727e-01	35	4.8125e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJC18	ENSG00000170464	ENST00000302060	true	true	7.4257e-12	1.0704e+00	1.8082e+00	8.2229e-01	40	4.8645e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJC19	ENSG00000205981	ENST00000382564	true	true	8.8677e-05	1.1682e+00	1.2903e+00	7.5865e-01	15	1.9772e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJC2	ENSG00000105821	ENST00000379263	true	true	9.9908e-01	4.5731e-01	2.6949e+00	3.4046e-01	32	9.3989e+01			9.6833e-01	0.0000e+00	3.4890e-02
DNAJC21	ENSG00000168724	ENST00000648817	true	true	4.5582e-19	1.0731e+00	1.8100e-01	8.7008e-01	63	7.2407e+01			9.9937e-01	0.0000e+00	0.0000e+00
DNAJC22	ENSG00000178401	ENST00000549441	true	true	2.0283e-09	1.5213e+00	-2.5600e-01	1.0817e+00	24	2.2187e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJC24	ENSG00000170946	ENST00000465995	true	true	2.4215e-06	1.4157e+00	5.6709e-01	9.4386e-01	17	1.8011e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJC25	ENSG00000059769	ENST00000313525	true	true	9.7067e-06	8.5643e-01	1.1030e+00	6.1722e-01	26	4.2124e+01			8.3333e-01	0.0000e+00	4.5370e-02
DNAJC25-GNG10	ENSG00000244115	ENST00000374294	false	true	7.3731e-04	1.2778e+00	8.1265e-01	7.7196e-01	11	1.4250e+01			6.0784e-01	0.0000e+00	0.0000e+00
DNAJC27	ENSG00000115137	ENST00000264711	true	true	1.3874e-07	1.1110e+00	-1.9811e-01	7.9549e-01	25	3.1427e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJC28	ENSG00000177692	ENST00000381947	true	true	1.2806e-06	1.0150e+00	2.6414e-01	7.2169e-01	24	3.3255e+01			9.9570e-01	0.0000e+00	0.0000e+00
DNAJC3	ENSG00000102580	ENST00000602402	true	true	2.1974e-06	7.2572e-01	1.1559e+00	5.5367e-01	38	6.8633e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJC30	ENSG00000176410	ENST00000395176	true	true	1.8925e-06	1.5796e+00	-7.3984e-01	1.0400e+00	16	1.5385e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJC4	ENSG00000110011	ENST00000628077	true	true	2.5780e-09	1.3437e+00	-4.9845e-01	9.6842e-01	26	2.6848e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJC5	ENSG00000101152	ENST00000360864	true	true	9.9994e-01	2.0455e-01	2.2699e+00	4.3119e-02	1	2.3191e+01			1.0000e+00	0.0000e+00	8.4175e-02
DNAJC5B	ENSG00000147570	ENST00000276570	true	true	4.1652e-08	1.3189e+00	7.8147e-02	9.3096e-01	23	2.4706e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJC5G	ENSG00000163793	ENST00000296097	true	true	7.9664e-04	1.0794e+00	-4.1066e-01	6.7891e-01	13	1.9148e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJC6	ENSG00000116675	ENST00000371069	true	true	1.0000e+00	4.1144e-01	2.1691e+00	3.0904e-01	34	1.1002e+02			9.9897e-01	0.0000e+00	0.0000e+00
DNAJC7	ENSG00000168259	ENST00000457167	true	true	9.9998e-01	3.9588e-01	3.3528e+00	2.6697e-01	18	6.7424e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJC8	ENSG00000126698	ENST00000263697	true	true	1.9710e-04	7.8078e-01	2.2782e+00	5.5518e-01	24	4.3229e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNAJC9	ENSG00000213551	ENST00000372950	true	true	1.3839e-03	8.2386e-01	2.7940e-01	5.5558e-01	18	3.2399e+01			1.0000e+00	2.6154e-01	0.0000e+00
DNAL1	ENSG00000119661	ENST00000553645	true	true	1.0441e-03	8.6764e-01	7.6061e-01	5.7844e-01	17	2.9389e+01			9.9649e-01	0.0000e+00	0.0000e+00
DNAL4	ENSG00000100246	ENST00000216068	true	true	1.0909e-03	1.3440e+00	3.6760e-01	7.9236e-01	10	1.2620e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNALI1	ENSG00000163879	ENST00000652629	true	true	2.2035e-10	1.2332e+00	4.4482e-01	9.1376e-01	31	3.3926e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNASE1	ENSG00000213918	ENST00000246949	true	true	3.6313e-16	1.5372e+00	-3.2130e+00	1.1809e+00	40	3.3873e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNASE1L1	ENSG00000013563	ENST00000369807	true	true	2.2959e-01	7.7644e-01	1.1724e+00	4.3032e-01	8	1.8591e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNASE1L2	ENSG00000167968	ENST00000320700	true	true	1.6195e-13	1.4594e+00	-1.7747e+00	1.1007e+00	35	3.1797e+01			9.7213e-01	0.0000e+00	0.0000e+00
DNASE1L3	ENSG00000163687	ENST00000394549	true	true	7.7620e-09	1.2049e+00	3.1233e-01	8.7371e-01	27	3.0903e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNASE2	ENSG00000105612	ENST00000222219	true	true	1.5130e-08	1.2117e+00	8.1168e-01	8.7327e-01	26	2.9773e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNASE2B	ENSG00000137976	ENST00000370665	true	true	2.7005e-14	1.2063e+00	4.0594e-01	9.3549e-01	43	4.5965e+01			1.0000e+00	0.0000e+00	0.0000e+00
DND1	ENSG00000256453	ENST00000542735	true	true	9.9922e-01	3.8955e-01	2.2885e+00	1.9737e-01	6	3.0400e+01			9.9433e-01	9.7734e-01	0.0000e+00
DNER	ENSG00000187957	ENST00000341772	true	true	1.0527e-01	5.6455e-01	7.8275e-01	4.2221e-01	33	7.8159e+01			8.7381e-01	0.0000e+00	1.2664e-02
DNHD1	ENSG00000179532	ENST00000254579	true	true	7.4949e-106	9.0993e-01	2.9516e+00	8.3616e-01	383	4.5805e+02			9.9769e-01	0.0000e+00	2.3845e-03
DNLZ	ENSG00000213221	ENST00000371738	true	true	4.4034e-08	2.9477e+00	-2.8910e+00	1.9143e+00	15	7.8356e+00			4.3071e-01	0.0000e+00	0.0000e+00
DNM1	ENSG00000106976	ENST00000372923	true	true	1.0000e+00	3.7802e-01	6.7942e+00	2.7724e-01	29	1.0460e+02			9.1667e-01	2.2377e-02	0.0000e+00
DNM1L	ENSG00000087470	ENST00000549701	true	true	9.9441e-01	4.7533e-01	5.7767e+00	3.5548e-01	33	9.2831e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNM2	ENSG00000079805	ENST00000389253	true	true	1.0000e+00	2.3338e-01	5.5324e+00	1.5157e-01	15	9.8967e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNM3	ENSG00000197959	ENST00000627582	true	true	4.9133e-04	5.8990e-01	3.0642e+00	4.6258e-01	47	1.0160e+02			9.9961e-01	0.0000e+00	0.0000e+00
DNMBP	ENSG00000107554	ENST00000324109	true	true	7.5094e-15	6.9299e-01	1.6906e+00	5.7984e-01	87	1.5004e+02			1.0000e+00	0.0000e+00	0.0000e+00
DNMT1	ENSG00000130816	ENST00000359526	true	true	1.0000e+00	1.6440e-01	8.0851e+00	1.1690e-01	24	2.0531e+02			9.9020e-01	0.0000e+00	0.0000e+00
DNMT3A	ENSG00000119772	ENST00000321117	true	true	1.4133e-142	2.5126e+00	2.7774e+00	2.2704e+00	267	1.1760e+02		outlier_lof	1.0000e+00	0.0000e+00	0.0000e+00
DNMT3B	ENSG00000088305	ENST00000328111	true	true	1.0000e+00	4.0492e-01	3.2791e+00	3.0780e-01	37	1.2021e+02			1.0000e+00	0.0000e+00	0.0000e+00
DNMT3L	ENSG00000142182	ENST00000628202	true	true	5.7677e-11	1.2195e+00	-1.7037e-01	9.1204e-01	33	3.6183e+01			5.9845e-01	4.0155e-01	0.0000e+00
DNPEP	ENSG00000123992	ENST00000273075	true	true	9.8616e-13	9.9447e-01	5.4991e-01	7.7778e-01	46	5.9143e+01			9.9863e-01	0.0000e+00	0.0000e+00
DNPH1	ENSG00000112667	ENST00000230431	true	true	1.3833e-07	1.7020e+00	-1.8066e-01	1.1478e+00	18	1.5682e+01			7.9885e-01	0.0000e+00	0.0000e+00
DNTT	ENSG00000107447	ENST00000371174	true	true	6.9969e-13	9.8426e-01	-6.3928e-01	7.7183e-01	47	6.0894e+01			1.0000e+00	0.0000e+00	0.0000e+00
DNTTIP1	ENSG00000101457	ENST00000372622	true	true	2.2124e-01	5.9407e-01	3.0556e+00	4.1603e-01	22	5.2880e+01			8.9362e-01	0.0000e+00	0.0000e+00
DNTTIP2	ENSG00000067334	ENST00000436063	true	true	1.4978e-12	9.6081e-01	-3.0547e-01	7.5344e-01	47	6.2380e+01			9.5988e-01	0.0000e+00	0.0000e+00
DOC2A	ENSG00000149927	ENST00000350119	true	true	3.7729e-07	9.4613e-01	1.4247e+00	6.9008e-01	28	4.0575e+01			1.0000e+00	0.0000e+00	0.0000e+00
DOC2B	ENSG00000272636	ENST00000613549	true	true	5.7179e-06	1.0460e+00	7.7109e-01	7.2640e-01	21	2.8910e+01			4.4498e-01	0.0000e+00	0.0000e+00
DOCK1	ENSG00000150760	ENST00000623213	true	true	1.3121e-17	6.0501e-01	4.0526e+00	5.2529e-01	138	2.6271e+02			9.9187e-01	0.0000e+00	0.0000e+00
DOCK10	ENSG00000135905	ENST00000258390	true	true	1.4223e-17	5.9420e-01	2.3496e+00	5.1770e-01	145	2.8008e+02			9.7972e-01	0.0000e+00	0.0000e+00
DOCK11	ENSG00000147251	ENST00000276202	true	true	1.0304e-01	5.0510e-01	4.0531e+00	4.1400e-01	70	1.6908e+02			9.7202e-01	0.0000e+00	0.0000e+00
DOCK2	ENSG00000134516	ENST00000520908	true	true	1.0000e+00	4.1770e-01	4.9194e+00	3.4949e-01	87	2.4893e+02			9.9180e-01	0.0000e+00	0.0000e+00
DOCK3	ENSG00000088538	ENST00000266037	true	true	1.0000e+00	2.8003e-01	5.1353e+00	2.2586e-01	60	2.6565e+02			9.7668e-01	0.0000e+00	0.0000e+00
DOCK4	ENSG00000128512	ENST00000428084	true	true	1.0000e+00	4.2835e-01	2.6738e+00	3.6184e-01	97	2.6808e+02			1.0000e+00	0.0000e+00	0.0000e+00
DOCK5	ENSG00000147459	ENST00000276440	true	true	4.2708e-22	6.4812e-01	1.7857e+00	5.6385e-01	142	2.5184e+02			9.9234e-01	0.0000e+00	1.6043e-03
DOCK6	ENSG00000130158	ENST00000294618	true	true	4.3134e-40	8.2457e-01	1.8276e+00	7.2524e-01	167	2.3027e+02			9.7590e-01	0.0000e+00	0.0000e+00
DOCK7	ENSG00000116641	ENST00000635253	true	true	8.2678e-16	5.8648e-01	4.4096e+00	5.0920e-01	138	2.7102e+02			9.8816e-01	0.0000e+00	4.0498e-03
DOCK8	ENSG00000107099	ENST00000432829	true	true	6.4267e-23	6.6027e-01	-3.0221e+00	5.7414e-01	141	2.4559e+02			9.9984e-01	0.0000e+00	0.0000e+00
DOCK9	ENSG00000088387	ENST00000682017	true	true	1.0000e+00	4.0320e-01	3.8737e+00	3.3805e-01	89	2.6327e+02			1.0000e+00	4.6686e-02	0.0000e+00
DOHH	ENSG00000129932	ENST00000427575	true	true	2.6926e-05	1.2192e+00	1.0973e-02	8.0275e-01	16	1.9932e+01			9.4040e-01	0.0000e+00	0.0000e+00
DOK1	ENSG00000115325	ENST00000233668	true	true	3.2260e-02	8.0913e-01	5.0851e-01	4.9940e-01	12	2.4029e+01			1.0000e+00	9.5842e-01	0.0000e+00
DOK2	ENSG00000147443	ENST00000276420	true	true	8.2224e-11	1.4783e+00	-2.2348e+00	1.0782e+00	28	2.5969e+01			1.0000e+00	0.0000e+00	0.0000e+00
DOK3	ENSG00000146094	ENST00000510898	true	true	1.0214e-07	1.2426e+00	-1.4511e-01	8.7707e-01	23	2.6224e+01			1.0000e+00	0.0000e+00	0.0000e+00
DOK4	ENSG00000125170	ENST00000340099	false	true	3.5342e-06	8.9933e-01	9.2291e-01	6.4813e-01	26	4.0115e+01			9.9898e-01	0.0000e+00	0.0000e+00
